title,domestic_revenue,distributor,budget,MPAA,genres,release_date
Hold Your Breath,"$77,987 ",Entertainment One,N/A,N/A,"Drama,Mystery,Sci-Fi,Thriller",10-Aug-18
The Boxcar Children - Surprise Island,"$78,676 ",Fathom Events,N/A,N/A,Animation,8-May-18
After Auschwitz,"$73,885 ",Passion River,N/A,N/A,Documentary,14-Apr-18
"Nico, 1988","$73,304 ",Magnolia Pictures,N/A,R,"Biography,Drama,Music",1-Aug-18
Yuri!!! On Ice,"$81,878 ",Fathom Events,N/A,N/A,"Animation,Comedy,Drama,Romance,Sport",13-Oct-18
Have a Nice Day,"$79,393 ",Strand Releasing,N/A,N/A,"Animation,Comedy,Crime,Drama",26-Jan-18
Godard Mon Amour,"$82,264 ",Cohen Media Group,N/A,R,"Biography,Comedy,Drama,Romance",20-Apr-18
En el séptimo día,"$79,887 ",The Cinema Guild,N/A,N/A,Drama,8-Jun-18
The Brawler,"$75,929 ",Eros International,N/A,N/A,"Action,Drama,Sport",12-Jan-18
93Queen,"$76,056 ",Abramorama,N/A,N/A,Documentary,25-Jul-18
Kedarnath,"$901,131 ",PackYourBag Films,N/A,N/A,"Drama,Romance",7-Dec-18
The Princess and the Matchmaker,"$78,900 ",CJ Entertainment,N/A,N/A,"Comedy,History,Romance",9-Mar-18
Nancy,"$80,115 ",The Samuel Goldwyn Company,N/A,N/A,"Drama,Mystery",8-Jun-18
Under the Eiffel Tower,"$6,291 ",The Orchard,N/A,N/A,Romance,8-Feb-19
The Meanest Man in Texas,"$8,850 ",Ammo Content,N/A,N/A,"Biography,Drama,History",17-May-19
The Hottest August,"$9,163 ",Grasshopper Film,N/A,N/A,Documentary,15-Nov-19
Going Attractions: The Definitive Story of the Movie Palace,"$6,763 ",Passion River,N/A,N/A,"Documentary,Family,History",24-Oct-19
The Golden Glove,"$6,160 ",Strand Releasing,N/A,N/A,"Crime,Drama,Horror,Thriller",27-Sep-19
Relaxer,"$6,133 ",Oscilloscope,N/A,N/A,"Comedy,Fantasy",29-Mar-19
To Be of Service,"$6,173 ",First Run,N/A,N/A,Documentary,1-Nov-19
Rosie,"$6,839 ",Blue Fox Entertainment,N/A,PG-13,Drama,19-Jul-19
Patrick the Pug,"$6,290 ",Independent,N/A,N/A,"Comedy,Family,Romance",15-Feb-19
Life and Nothing More,"$24,358 ",CFI Releasing,N/A,N/A,Drama,24-Oct-18
Border,"$771,930 ",Neon,N/A,R,"Crime,Drama,Fantasy,Romance,Thriller",26-Oct-18
Dying to Survive,"$6,752 ",China Lion Film Distribution,N/A,N/A,"Comedy,Drama",9-Aug-19
Hollywould,"$11,888 ",Indican Pictures,N/A,N/A,"Crime,Mystery,Thriller",15-Nov-19
No culpes al karma de lo que te pasa por gilipollas,"$5,614 ",Sony Pictures Releasing,N/A,R,Comedy,24-Mar-17
Genesis,"$6,784 ",Film Movement,N/A,N/A,Drama,23-Aug-19
Beloved Beast,"$7,301 ",Indican Pictures,N/A,N/A,Horror,11-Oct-19
Shut In,"$6,900,335 ",EuropaCorp,N/A,PG-13,"Drama,Mystery,Thriller",11-Nov-16
The Ardennes,"$5,638 ",Film Movement,N/A,N/A,Drama,6-Jan-17
The Vault,"$5,728 ",FilmRise,N/A,N/A,"Crime,Horror,Mystery,Thriller",1-Sep-17
King of Thieves,"$7,518 ",Saban Films,N/A,R,"Crime,Drama",25-Jan-19
I'll Take Your Dead,"$7,692 ",Breakthrough Entertainment Inc.,N/A,N/A,Horror,5-Jul-19
The Work,"$5,853 ",The Orchard,N/A,N/A,Documentary,27-Oct-17
Starless Dreams,"$5,937 ",The Cinema Guild,N/A,N/A,Documentary,20-Jan-17
La Chinoise,"$5,631 ",Kino Lorber,N/A,N/A,"Comedy,Drama",21-Jul-17
Dying to Know: Ram Dass & Timothy Leary,"$16,397 ",GathrFilms,N/A,N/A,"Biography,Documentary,History,News",23-Jan-17
Trespass Against Us,"$5,711 ",A24,N/A,R,"Action,Crime,Drama,Thriller",20-Jan-17
The Seasons In Quincy: Four Portraits of John Berger,"$28,456 ",Icarus Films,N/A,N/A,"Biography,Documentary",31-Aug-16
Best Worst Thing That Ever Could Have Happened...,"$106,986 ",Abramorama,N/A,N/A,Documentary,18-Nov-16
The Dark Below,"$7,095 ",Parade Deck Films,N/A,N/A,"Horror,Thriller",10-Mar-17
Tad the Lost Explorer and the Secret of King Midas,"$5,874 ",Paramount Classics,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy",1-Dec-17
"Kill Me, Deadly","$36,027 ",Indican Pictures,N/A,N/A,"Comedy,History,Mystery",1-Apr-16
Chosen,"$9,283 ",Medallion Releasing,N/A,R,"Drama,War",16-Dec-16
In the Steps of Trisha Brown,"$6,230 ",Icarus Films,N/A,N/A,Documentary,7-Feb-17
On Wings of Eagles,"$5,975 ",Archstone Distribution,N/A,PG-13,"Drama,History,Sport",3-Nov-17
Doctor Who: The Woman Who Fell to Earth,"$82,698 ",Fathom Events,N/A,N/A,"Adventure,Drama,Family,Mystery,Sci-Fi",10-Oct-18
Blood Fest,"$82,774 ",Fathom Events,N/A,N/A,"Comedy,Horror",14-Aug-18
The Fuzz,"$6,067 ",Indican Pictures,N/A,N/A,Crime,21-Jul-17
National Theatre Live: Antony & Cleopatra,"$83,672 ",Fathom Events,N/A,N/A,Drama,6-Dec-18
Arise from Darkness,"$6,112 ",Indican Pictures,N/A,N/A,Thriller,6-Jan-17
Claire's Camera,"$83,418 ",The Cinema Guild,N/A,N/A,Drama,9-Mar-18
How To Talk To Girls at Parties,"$84,809 ",A24,N/A,R,"Comedy,Music,Romance,Sci-Fi",25-May-18
The Skyjacker's Tale,"$6,253 ",Strand Releasing,N/A,N/A,Documentary,30-Jun-17
Stan & Ollie,"$5,470,235 ",Sony Pictures Classics,N/A,PG,"Biography,Comedy,Drama,History",N/A
Inseparables,"$6,258 ",Film Movement,N/A,N/A,"Comedy,Drama",15-Oct-17
Custody,"$83,882 ",Kino Lorber,N/A,N/A,Drama,29-Jun-18
Cat on a Hot Tin Roof,"$89,332 ",Fathom Events,N/A,N/A,Drama,22-Feb-18
BANDSTAND: The Broadway Musical on Screen,"$91,000 ",Fathom Events,N/A,N/A,Musical,15-Nov-18
Lobster Cop,"$85,693 ",China Lion Film Distribution,N/A,N/A,"Comedy,Crime",22-Jun-18
Running for Grace,"$89,988 ",Blue Fox Entertainment,N/A,N/A,"Family,Romance",20-Jul-18
Big Brother,"$85,624 ",Well Go USA Entertainment,N/A,N/A,"Action,Comedy,Drama",31-Aug-18
The Price of Everything,"$87,400 ",Home Box Office (HBO),N/A,N/A,Documentary,19-Oct-18
The Plagiarists,"$7,768 ",KimStim,N/A,N/A,Drama,28-Jun-19
Airpocalypse,"$105,678 ",China Lion Film Distribution,N/A,N/A,"Action,Adventure,Comedy,Fantasy",21-Dec-18
Goldstone,"$87,639 ",Lightyear Entertainment,N/A,R,"Crime,Thriller",2-Mar-18
Bolshoi Ballet: Swan Lake,"$88,905 ",Fathom Events,N/A,N/A,N/A,23-Jul-18
Reign of Judges: Title of Liberty - Concept Short,"$93,224 ","Darin Southam Endeavor, Inc.",N/A,N/A,"Action,Short",15-Mar-18
The Breadwinner,"$312,381 ",GKIDS,N/A,PG-13,"Animation,Drama,Family,War",17-Nov-17
John McEnroe: In the Realm of Perfection,"$90,964 ",Oscilloscope,N/A,N/A,"Documentary,Sport",22-Aug-18
The Etruscan Smile,"$8,213 ",Lightyear Entertainment,N/A,R,Drama,8-Nov-19
This Magnificent Cake!,"$7,888 ",GKIDS,N/A,N/A,"Animation,Comedy,Drama,History,Short",1-Mar-19
Grass,"$8,084 ",The Cinema Guild,N/A,N/A,Drama,19-Apr-19
The Dead Center,"$8,320 ",Arrow Films,N/A,N/A,"Horror,Mystery,Thriller",11-Oct-19
The Third Murder,"$89,315 ",Film Movement,N/A,N/A,"Crime,Drama,Mystery",20-Jul-18
Colossal Youth,"$8,331 ",Giant Steps Productions,N/A,N/A,"Comedy,Drama,Romance",3-Aug-18
Ghost Fleet,"$7,850 ",Abramorama,N/A,N/A,Documentary,7-Jun-19
Wings of Desire,"$123,830 ",Janus Films,N/A,N/A,"Drama,Fantasy,Romance",19-Oct-18
Frantz Fanon: Black Skin White Mask,"$9,025 ",Film Movement,N/A,N/A,"Biography,Documentary",15-Mar-19
Cracked Up,"$9,197 ",Abramorama,N/A,N/A,Documentary,13-Sep-19
Around India with a Movie Camera,"$10,389 ",Icarus Films,N/A,N/A,Documentary,30-Nov-18
Elizabeth Blue,"$6,542 ",Global Digital Releasing,N/A,PG-13,Drama,22-Sep-17
When Lambs Become Lions,"$9,337 ",Oscilloscope,N/A,N/A,Documentary,22-Nov-19
The Last Rampage,"$6,294 ",Epic Pictures Group,N/A,R,"Action,Crime,Drama,Mystery,Thriller",22-Sep-17
Studio 54,"$199,767 ",Zeitgeist Films,N/A,N/A,"Documentary,History",5-Oct-18
The Spanish Prisoner,"$9,589 ",Ammo Content,N/A,PG,"Drama,Mystery,Thriller",26-Apr-19
Olivia,"$9,934 ",Icarus Films,N/A,N/A,Drama,16-Aug-19
Fritz Lang's Indian Epic,"$9,345 ",Film Movement,N/A,N/A,N/A,27-Sep-19
Streetwise,"$9,904 ",Janus Films,N/A,N/A,"Documentary,Drama",19-Jul-19
The Persian Connection,"$6,634 ",The Samuel Goldwyn Company,N/A,N/A,"Action,Crime,Mystery,Thriller",14-Jul-17
Scum,"$6,461 ",Kino Lorber,N/A,N/A,"Crime,Drama",16-Jun-17
Harry Benson: Shoot First,"$18,092 ",Magnolia Pictures,N/A,N/A,Documentary,9-Dec-16
A Kind of Loving,"$6,912 ",Rialto Pictures,N/A,N/A,"Drama,Romance",7-Apr-17
The Pathological Optimist,"$11,222 ",The Film Arcade,N/A,N/A,"Biography,Documentary",29-Sep-17
Suntan,"$6,643 ",Strand Releasing,N/A,N/A,Drama,10-Mar-17
The Ballad of Lefty Brown,"$7,856 ",A24,N/A,R,"Action,Drama,Western",15-Dec-17
Overdrive,"$7,793 ",Vertical Entertainment,N/A,PG-13,"Action,Thriller",6-Oct-17
The Wrong Light,"$7,553 ",The Cinema Guild,N/A,N/A,Documentary,14-Jul-17
From Nowhere,"$8,109 ",FilmRise,N/A,N/A,Drama,17-Feb-17
Footnotes,"$6,660 ",Monument Releasing,N/A,N/A,"Comedy,Musical",14-Jul-17
Big Time,"$7,347 ",Abramorama,N/A,N/A,Documentary,1-Dec-17
Another WolfCop,"$7,285 ",Parade Deck Films,N/A,N/A,"Comedy,Fantasy,Horror",1-Dec-17
The Jazz Funeral,"$7,103 ",Indican Pictures,N/A,N/A,Drama,10-Mar-17
Birthright: A War Story,"$7,519 ",Abramorama,N/A,N/A,Documentary,14-Jul-17
Golden Slumber,"$94,450 ",CJ Entertainment,N/A,N/A,"Action,Thriller",16-Feb-18
Served Like a Girl,"$8,290 ",Entertainment Studios Motion Pictures,N/A,N/A,Documentary,25-Aug-17
Swept Away,"$7,876 ",Kino Lorber,N/A,N/A,"Adventure,Comedy,Drama",14-Apr-17
El Angel,"$109,608 ",The Orchard,N/A,N/A,"Biography,Crime,Drama",9-Nov-18
Godspeed: The Race Across America,"$96,690 ",Fathom Events,N/A,N/A,Documentary,22-May-18
Maurizio Cattelan: Be Right Back,"$7,706 ",Bond/360,N/A,N/A,Documentary,14-Apr-17
Filmworker,"$102,609 ",Kino Lorber,N/A,N/A,"Biography,Documentary",11-May-18
Champion,"$97,472 ",Well Go USA Entertainment,N/A,N/A,"Drama,Sport",11-May-18
Meow Wolf: Origin Story,"$99,488 ",Fathom Events,N/A,N/A,Documentary,29-Nov-18
National Theatre Live: Macbeth,"$97,857 ",Fathom Events,N/A,N/A,Drama,17-May-18
Wonder Wheel,"$1,404,061 ",Amazon Studios,N/A,PG-13,Drama,1-Dec-17
All About Nina,"$100,335 ",The Orchard,N/A,R,"Comedy,Drama,Romance",28-Sep-18
Andrei Rublev,"$102,021 ",Janus Films,N/A,N/A,"Biography,Drama,History",24-Aug-18
Big Sonia,"$212,471 ",Argot Pictures,N/A,N/A,"Documentary,Family,History",17-Nov-17
Let the Corpses Tan,"$93,409 ",Kino Lorber,N/A,N/A,Thriller,31-Aug-18
Mr. Chibbs,"$8,302 ",Abramorama,N/A,N/A,Documentary,3-May-17
The Man Who Invented Christmas,"$5,676,486 ",Bleecker Street Media,N/A,PG,"Biography,Comedy,Drama",N/A
Revenge,"$102,091 ",Neon,N/A,R,"Action,Horror,Thriller",11-May-18
Detective K: Secret of the Living Dead,"$104,013 ",Well Go USA Entertainment,N/A,N/A,"Comedy,Crime",16-Feb-18
Never Heard,"$105,271 ",Fathom Events,N/A,N/A,"Drama,Family",1-Nov-18
Unstoppable,"$101,417 ",Well Go USA Entertainment,N/A,N/A,"Action,Crime",30-Nov-18
Shooting the Mafia,"$10,881 ",Cohen Media Group,N/A,N/A,"Biography,Documentary",22-Nov-19
Ismael's Ghosts,"$102,510 ",Magnolia Pictures,N/A,R,"Drama,Romance,Thriller",23-Mar-18
16 Bars,"$10,985 ",Lightyear Entertainment,N/A,N/A,Documentary,8-Nov-19
Sweet Country,"$104,297 ",The Samuel Goldwyn Company,N/A,R,"Adventure,Crime,Drama,History,Thriller,Western",6-Apr-18
Namaste England,"$104,156 ",Eros International,N/A,N/A,"Comedy,Drama,Romance",19-Oct-18
Happy Phirr Bhag Jayegi,"$103,385 ",Eros International,N/A,N/A,Comedy,24-Aug-18
Memoir of War,"$103,636 ",Music Box Films,N/A,N/A,Drama,17-Aug-18
The Eyes of Orson Welles,"$10,253 ",Janus Films,N/A,N/A,Documentary,15-Mar-19
Suburban Birds,"$10,997 ",The Cinema Guild,N/A,N/A,Drama,5-Apr-19
Round of Your Life,"$20,941 ",Ammo Content,N/A,N/A,"Family,Sport",21-Jun-19
Duet for Cannibals,"$12,330 ",Metrograph Pictures,N/A,N/A,Drama,22-Nov-19
Daughter of Mine,"$10,628 ",Strand Releasing,N/A,N/A,Drama,1-Feb-19
Angels Are Made Of Light,"$7,919 ",Grasshopper Film,N/A,N/A,Documentary,26-Jul-19
Ferrante Fever,"$11,137 ",Greenwich Entertainment,N/A,N/A,Documentary,8-Mar-19
If the Dancer Dances,"$10,912 ",Monument Releasing,N/A,N/A,Documentary,26-Apr-19
Natasha,"$8,325 ",Menemsha Films,N/A,N/A,Drama,28-Apr-17
Liyana,"$44,045 ",Abramorama,N/A,N/A,"Animation,Documentary",10-Oct-18
Quartet,"$12,042 ",Cohen Media Group,N/A,N/A,"Drama,Romance",3-May-19
I Do Not Care If We Go Down in History as Barbarians,"$11,307 ",Big World Pictures,N/A,N/A,"Comedy,Drama",19-Jul-19
Vision Portraits,"$10,771 ",Stimulus Pictures,N/A,N/A,Documentary,9-Aug-19
Yomeddine,"$11,308 ",Strand Releasing,N/A,N/A,"Adventure,Comedy,Drama",31-May-19
In Like Flynn,"$11,255 ",Blue Fox Entertainment,N/A,R,"Action,Adventure",25-Jan-19
Between the Lines,"$15,383 ",Cohen Media Group,N/A,N/A,"Comedy,Drama,Romance",22-Feb-19
That Part Feeling - the Universe of Arvo Part,"$8,812 ",Film Movement,N/A,N/A,Documentary,3-Jun-19
Stuffed,"$15,532 ",Music Box Films,N/A,N/A,Documentary,16-Oct-19
Made Me Do It,"$11,151 ",Indican Pictures,N/A,N/A,"Drama,Fantasy,Horror,Thriller",12-Apr-19
"Cassandro, The Exotico!","$11,897 ",Film Movement,N/A,N/A,Documentary,19-Jul-19
We Are the Flesh,"$8,438 ",Arrow Films,N/A,N/A,"Drama,Fantasy,Horror",13-Jan-17
Félicité,"$12,433 ",Strand Releasing,N/A,N/A,"Drama,Music",27-Oct-17
The Disappearance of My Mother,"$24,951 ",Kino Lorber,N/A,N/A,Documentary,6-Dec-19
Galapagos,"$18,630,372 ",IMAX,N/A,N/A,"Documentary,Short",29-Oct-99
Painted Woman,"$10,298 ",Amor Media,N/A,N/A,"Romance,Western",10-Nov-17
Lycan,"$9,110 ",Parade Deck Films,N/A,N/A,"Horror,Thriller",18-Aug-17
The Fiancé,"$23,986 ",Indican Pictures,N/A,N/A,Horror,11-Nov-16
Pelle the Conqueror,"$9,757 ",Film Movement,N/A,PG-13,Drama,24-Feb-17
The Eyes,"$9,104 ",Parade Deck Films,N/A,N/A,"Crime,Drama,Mystery,Thriller",7-Apr-17
Amnesia,"$8,700 ",Film Movement,N/A,N/A,Drama,21-Jul-17
Irreplaceable,"$8,494 ",Distrib Films,N/A,N/A,"Comedy,Drama",2-Feb-17
Amelia 2.0,"$10,233 ",TriCoast Worldwide,N/A,N/A,"Drama,Romance,Sci-Fi",4-Aug-17
Inspector Maigret,"$8,528 ",Kino Lorber,N/A,N/A,"Crime,Drama",20-Oct-17
Harry & Snowman,"$561,460 ",FilmRise,N/A,N/A,"Biography,Documentary,Drama,Sport",30-Sep-16
Clarence,"$10,495 ",Indican Pictures,N/A,N/A,Documentary,1-Sep-17
Lovesong,"$10,626 ",Strand Releasing,N/A,N/A,"Drama,Romance",17-Feb-17
In Between,"$107,977 ",Film Movement,N/A,N/A,Drama,5-Jan-18
Thirst Street,"$9,129 ",The Samuel Goldwyn Company,N/A,N/A,"Comedy,Drama,Romance",22-Sep-17
Machines,"$9,710 ",Kino Lorber,N/A,N/A,Documentary,9-Aug-17
Remember the Goal,"$119,100 ",Five & Two Pictures,N/A,PG,Drama,26-Aug-16
National Theatre Live: Julius Caesar,"$107,057 ",Fathom Events,N/A,N/A,Biography,22-Mar-18
The Sunshine Makers,"$10,042 ",FilmRise,N/A,N/A,"Documentary,History",20-Jan-17
Mary Shelley,"$108,900 ",IFC Films,N/A,PG-13,"Biography,Drama,History,Romance",25-May-18
Lu Over the Wall,"$109,857 ",GKIDS,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Music",11-May-18
Amazing Grace,"$4,450,456 ",Neon,N/A,G,"Documentary,Music",7-Dec-18
A Chance in the World - Premiere,"$112,007 ",Fathom Events,N/A,N/A,"Biography,Drama,Family",30-May-18
"Love, Cecil","$106,057 ",Zeitgeist Films,N/A,N/A,"Biography,Documentary",29-Jun-18
"Roman J. Israel, Esq.","$11,962,778 ",Sony Pictures Releasing,"$22,000,000 ",PG-13,"Crime,Drama,Thriller",N/A
The Dawn Wall,"$112,191 ",The Orchard,N/A,N/A,"Biography,Documentary,Sport",14-Sep-18
The World Before Your Feet,"$268,644 ",Greenwich Entertainment,N/A,N/A,Documentary,21-Nov-18
A Boy. A Girl. A Dream.,"$112,552 ",The Samuel Goldwyn Company,N/A,R,Romance,14-Sep-18
Bodied,"$113,956 ",Neon,N/A,R,"Comedy,Drama,Music",2-Nov-18
Nostalgia,"$114,603 ",Bleecker Street Media,N/A,R,Drama,16-Feb-18
Hymn: Sarah Brightman In Concert,"$113,274 ",Fathom Events,N/A,N/A,Music,8-Nov-18
The Negotiation,"$110,986 ",CJ Entertainment,N/A,N/A,"Action,Crime,Thriller",21-Sep-18
The Captain,"$109,226 ",Music Box Films,N/A,N/A,"Drama,History,War",27-Jul-18
Capernaum,"$1,661,096 ",Sony Pictures Classics,N/A,R,Drama,14-Dec-18
George Takei's Allegiance,"$117,162 ",Fathom Events,N/A,N/A,Musical,11-Dec-18
Till The End Of The World,"$118,660 ",China Lion Film Distribution,N/A,N/A,"Adventure,Drama",2-Feb-18
Mantra: Sounds Into Silence,"$115,013 ",GathrFilms,N/A,N/A,"Documentary,Music",20-Apr-18
Gonjiam: Haunted Asylum,"$115,252 ",Well Go USA Entertainment,N/A,N/A,Horror,13-Apr-18
Five Seasons: The Gardens of Piet Oudolf,"$119,223 ",Argot Pictures,N/A,N/A,Documentary,13-Jun-18
Bricked,"$12,201 ",GathrFilms,N/A,N/A,Drama,24-Jan-19
The White Sheik,"$50,512 ",Rialto Pictures,N/A,N/A,"Comedy,Drama",25-Dec-19
Ryuichi Sakamoto: Coda,"$117,460 ",MUBI,N/A,N/A,"Documentary,Music",6-Jul-18
Journey to the South Pacific,"$7,653,913 ",IMAX,N/A,G,Documentary,27-Nov-13
The Great Buster,"$118,344 ",Cohen Media Group,N/A,N/A,"Biography,Documentary",5-Oct-18
Bisbee '17,"$117,470 ",4th Row Films,N/A,N/A,"Documentary,Western",5-Sep-18
Love After Love,"$121,098 ",IFC Films,N/A,N/A,"Drama,Romance",30-Mar-18
Imprisoned,"$12,050 ",Cinema Libre Studio,N/A,R,"Drama,Thriller",13-Sep-19
Rapid Response,"$13,294 ",Atlas Distribution Company,N/A,PG-13,Documentary,6-Sep-19
Zen for Nothing,"$12,107 ",Zeitgeist Films,N/A,N/A,Documentary,29-Mar-19
The Cat Rescuers,"$31,540 ",Balcony Releasing,N/A,N/A,Documentary,5-Jul-19
The House with a Clock in Its Walls,"$68,549,695 ",Universal Pictures,"$42,000,000 ",PG,"Comedy,Family,Fantasy,Horror,Sci-Fi",21-Sep-18
The Woman Who Loves Giraffes,"$94,533 ",Zeitgeist Films,N/A,N/A,Documentary,4-Oct-19
Off Season,"$12,544 ",Indican Pictures,N/A,N/A,"Drama,Thriller",15-Mar-19
This One's for the Ladies,"$13,688 ",Super,N/A,NC-17,Documentary,7-Jun-19
My Son,"$14,450 ",Cohen Media Group,N/A,N/A,"Drama,Thriller",10-May-19
First Man,"$44,936,545 ",Universal Pictures,"$59,000,000 ",PG-13,"Biography,Drama,History",12-Oct-18
Touch Me Not,"$13,782 ",Kino Lorber,N/A,N/A,Drama,11-Jan-19
Deep Sea,"$46,409,156 ",Warner Bros.,N/A,G,"Documentary,Short",3-Mar-06
Hagazussa,"$13,253 ",Doppelganger Releasing,N/A,N/A,"Drama,Horror",19-Apr-19
Screwball,"$13,967 ",Greenwich Entertainment,N/A,N/A,Documentary,29-Mar-19
Boy Erased,"$6,788,692 ",Focus Features,N/A,R,"Biography,Drama",N/A
The Competition,"$15,622 ",Metrograph Pictures,N/A,N/A,Documentary,22-Feb-19
Funan,"$15,152 ",GKIDS,N/A,N/A,Animation,7-Jun-19
Galapagos,"$18,630,372 ",IMAX,N/A,N/A,"Documentary,Short",29-Oct-99
Frank and Ava,"$18,829 ",Hannover House,N/A,N/A,"Biography,Drama,History",7-Dec-18
El Angel,"$109,608 ",The Orchard,N/A,N/A,"Biography,Crime,Drama",9-Nov-18
Midnight Family,"$42,310 ",1091 Media,N/A,N/A,"Action,Crime,Documentary,Drama",6-Dec-19
In Search of Fellini,"$12,772 ",AMBI Distribution,N/A,R,"Adventure,Drama,Romance",15-Sep-17
Permanent,"$12,847 ",Magnolia Pictures,N/A,PG-13,Comedy,15-Dec-17
Porto,"$15,126 ",Kino Lorber,N/A,N/A,"Drama,Romance",17-Nov-17
Combat Obscura,"$14,242 ",Oscilloscope,N/A,N/A,Documentary,15-Mar-19
Wrinkles the Clown,"$14,938 ",Magnolia Pictures,N/A,N/A,"Comedy,Documentary,Horror,Mystery",4-Oct-19
ZZ Top: That Little Ol' Band from Texas,"$14,879 ",Abramorama,N/A,N/A,"Biography,Documentary,Music",19-Aug-19
Our Time,"$14,777 ",Monument Releasing,N/A,N/A,Drama,14-Jun-19
Mifune: The Last Samurai,"$62,279 ",Strand Releasing,N/A,N/A,"Biography,Documentary",25-Nov-16
Saigon Bodyguards,"$11,314 ",CJ Entertainment,N/A,N/A,"Action,Comedy",3-Feb-17
Ugetsu,"$11,197 ",Janus Films,N/A,N/A,"Drama,Fantasy,War",1-Mar-17
The Challenge,"$11,043 ",Kino Lorber,N/A,N/A,Documentary,8-Sep-17
Beside Bowie: The Mick Ronson Story,"$11,400 ",Parade Deck Films,N/A,N/A,Documentary,25-Aug-17
The Magnificent Seven,"$93,432,655 ",Sony Pictures Releasing,"$90,000,000 ",PG-13,"Action,Adventure,Western",23-Sep-16
Blind,"$12,522 ",Vertical Entertainment,N/A,R,"Drama,Romance",14-Jul-17
I Can Speak,"$63,239 ",CJ Entertainment,N/A,N/A,"Comedy,Drama",22-Sep-17
The Son of Joseph,"$30,588 ",Kino Lorber,N/A,N/A,Drama,29-Sep-16
Dead Awake,"$11,528 ",FilmRise,N/A,N/A,"Horror,Thriller",12-May-17
Sweet Virginia,"$11,753 ",IFC Films,N/A,R,"Drama,Thriller",17-Nov-17
Staying Vertical,"$12,158 ",Strand Releasing,N/A,N/A,"Comedy,Drama",20-Jan-17
Frank Serpico,"$11,925 ",IFC Films,N/A,N/A,"Biography,Documentary",1-Nov-17
4 Days in France,"$12,273 ",The Cinema Guild,N/A,N/A,"Comedy,Drama,Romance",4-Aug-17
Junction 48,"$12,795 ",The Orchard,N/A,N/A,"Action,Biography,Crime,Drama,Music,Thriller",3-Mar-17
Seven Beauties,"$12,408 ",Kino Lorber,N/A,N/A,"Comedy,Drama,War",14-Apr-17
Keep Quiet,"$50,451 ",Kino Lorber,N/A,N/A,Documentary,17-Feb-17
Birdboy: The Forgotten Children,"$38,786 ",GKIDS,N/A,N/A,"Animation,Drama,Horror,Sci-Fi",15-Dec-17
In the Fade,"$321,011 ",Magnolia Pictures,N/A,R,"Crime,Drama,Thriller",27-Dec-17
Heal,"$12,668 ",Paladin,N/A,N/A,Documentary,20-Oct-17
Charged: The Eduardo Garcia Story,"$15,920 ",GathrFilms,N/A,N/A,"Action,Adventure,Biography,Documentary",4-Oct-17
"Intent to Destroy: Death, Denial & Depiction","$13,194 ",Abramorama,N/A,N/A,"Documentary,History",10-Nov-17
Yu-Gi-Oh!: The Movie - Pyramid of Light,"$121,688 ",Fathom Events,N/A,PG,"Action,Adventure,Animation,Family,Fantasy,Thriller",11-Mar-18
'85: The Greatest Team in Football History,"$124,573 ",Fathom Events,N/A,N/A,Sport,29-Jan-18
Geostorm,"$33,700,160 ",Warner Bros.,"$120,000,000 ",PG-13,"Action,Sci-Fi,Thriller",20-Oct-17
The Young Karl Marx,"$125,659 ",The Orchard,N/A,N/A,"Biography,Drama,History",23-Feb-18
Destroyer,"$1,533,324 ",Annapurna Pictures,N/A,R,"Action,Crime,Drama,Mystery,Thriller",25-Dec-18
The Metropolitan Opera HD Live: Verdi: Il Trovatore,"$129,393 ",Fathom Events,N/A,N/A,Musical,27-Jun-18
Taipei Story,"$12,897 ",Janus Films,N/A,N/A,Drama,17-Mar-17
Rudy,"$131,200 ",Fathom Events,N/A,PG,"Biography,Drama,Sport",28-Aug-18
The Metropolitan Opera HD Live: Puccini: Madama Butterfly,"$129,730 ",Fathom Events,N/A,N/A,Musical,20-Jun-18
Sleepless in Seattle,"$127,281 ",Fathom Events,"$21,000,000 ",PG,"Comedy,Drama,Romance",2-Dec-18
The Metropolitan Opera HD Live: Tchaikovsky: Eugene Onegin,"$129,498 ",Fathom Events,N/A,N/A,Musical,11-Jul-18
Swing Kids,"$222,001 ",Well Go USA Entertainment,N/A,N/A,Drama,21-Dec-18
Best F(r)iends Volume Two,"$141,524 ",Fathom Events,N/A,R,"Comedy,Drama,Thriller",1-Jun-18
Bel Canto,"$125,569 ",Screen Media Films,N/A,N/A,"Drama,Music,Romance,Thriller",14-Sep-18
Monster Family,"$127,259 ",Viva Pictures Distribution,N/A,PG,"Animation,Comedy,Family,Horror",9-Feb-18
Mr. Smith Goes to Washington,"$144,738 ",Fathom Events,"$1,900,000 ",N/A,"Comedy,Drama",14-Oct-18
Night of the Living Dead,"$147,423 ",Fathom Events,N/A,N/A,Horror,24-Oct-18
The Little Mermaid,"$147,175 ",Conglomerate Media,N/A,PG,"Adventure,Drama,Fantasy,Romance",17-Aug-18
Support the Girls,"$129,124 ",Magnolia Pictures,N/A,R,"Comedy,Drama",24-Aug-18
"Buttons, A New Musical Film","$151,983 ",Fathom Events,N/A,PG,"Drama,Family,Fantasy,Musical",8-Dec-18
